,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
time,00:00,00:01,00:02,00:03,00:04,00:05,00:06,00:07,00:08,00:09,00:10,00:11,00:12,00:13,00:14,00:15,00:16,00:17,00:18,00:19,00:20,00:21,00:22,00:23,00:24,00:25,00:26,00:27,00:28,00:29,00:30,00:31,00:32,00:33,00:34,00:35,00:36,00:37,00:38,00:39,00:40,00:41,00:42,00:43,00:44,00:45,00:46,00:47,00:48,00:49,00:50,00:51,00:52,00:53,00:54,00:55,00:56,00:57,00:58,00:59,01:00
leq_dba,58.059999999999995,58.91833333333333,61.730000000000004,62.10333333333333,58.265,58.968333333333334,58.90333333333333,58.99333333333333,58.54,58.36333333333334,58.376666666666665,58.17833333333333,58.68666666666666,58.986666666666665,58.190000000000005,62.255,65.55833333333334,62.13,62.47666666666667,63.708333333333336,60.155,60.665,59.135,63.425,63.215,61.35333333333333,62.776666666666664,63.666666666666664,60.51,64.23333333333333,62.525,64.08,64.055,61.531666666666666,60.745,69.27333333333333,63.64833333333333,63.309999999999995,60.61833333333333,60.555,59.281666666666666,58.06333333333334,58.093333333333334,58.306666666666665,60.818333333333335,59.415,59.18333333333333,61.85333333333333,64.31333333333333,60.556666666666665,59.015,59.544999999999995,57.730000000000004,59.475,61.025,60.434999999999995,64.365,59.87166666666667,59.230000000000004,57.888333333333335,58.22
