date,value
2023-03-13,64.75829120203183
2023-03-14,65.23957142857142
2023-03-15,66.88721298464225
2023-03-16,64.62476190476191
2023-03-17,64.4707242350887
2023-03-18,63.07399603174603
2023-03-19,62.602705662923135
2023-03-20,64.28731616333982
2023-03-21,64.41269812294139
2023-03-22,64.43067105837534
2023-03-23,64.77638715822056
2023-03-24,64.57978808682884
2023-03-25,65.35863645382753
2023-03-26,62.895237112583835
2023-03-27,64.44758442795349
2023-03-28,64.40921782610421
2023-03-29,63.74895749831342
2023-03-30,64.5573784673995
2023-03-31,65.44693757688796
2023-04-01,62.94638596769713
2023-04-02,65.72480555555556
2023-04-03,64.64916782412
2023-04-04,65.55625143854915
2023-04-05,63.91045993888646
2023-04-06,63.60886066907417
2023-04-07,64.69414682539683
2023-04-08,63.26934719631731
2023-04-09,63.14775110123417
2023-04-10,64.83514682539682
2023-04-11,63.8103924758919
2023-04-12,64.94845238095238
2023-04-13,65.82395650621056
2023-04-14,65.01842063492063
2023-04-15,63.24325489106711
2023-04-16,62.754175959363465
2023-04-17,66.03162347712211
2023-04-18,67.66287471725069
2023-04-19,71.9629382118338
2023-04-20,74.85664034287075
2023-04-21,78.58160714285714
2023-04-22,66.74690582959641
2023-04-23,65.71769435295052
2023-04-24,77.79236398269772
2023-04-25,82.42488511448867
2023-04-26,82.04598809523809
2023-04-27,81.45925949442437
2023-04-28,79.88166666666666
2023-04-29,69.88749077344339
2023-04-30,68.46440873015872
2023-05-01,80.59623412698411
2023-05-02,78.83353625143855
2023-05-03,72.06336507936508
2023-05-04,74.32752807651097
2023-05-05,74.68862177070518
2023-05-06,66.52736537164174
2023-05-07,65.33082185801024
2023-05-08,72.26861304020001
2023-05-09,72.25577522917577
2023-05-10,71.97014682539682
2023-05-11,68.89104250168657
2023-05-12,69.73513552125084
2023-05-13,65.43034523809524
2023-05-14,65.24056827651891
2023-05-15,69.51685701813564
2023-05-16,71.86513671177428
2023-05-17,70.1810119047619
2023-05-18,69.84824603174603
2023-05-19,70.2146267709036
2023-05-20,65.39797531648081
2023-05-21,65.8466042303266
2023-05-22,69.31287698412699
2023-05-23,70.56733521171475
2023-05-24,70.4289880952381
2023-05-25,70.26309297988016
2023-05-26,70.09744354934719
2023-05-27,65.31538492063491
2023-05-28,65.23137743561253
2023-05-29,65.71570617881662
2023-05-30,75.24401682606452
2023-05-31,75.16978968253969
2023-06-01,66.96484304932736
2023-06-02,74.33239334894242
2023-06-03,66.87617683241399
2023-06-04,66.53586904761904
2023-06-05,74.70464621611968
2023-06-06,74.63636904761904
2023-06-07,73.58394301361166
2023-06-08,74.45797222222222
2023-06-09,73.94525100202388
2023-06-10,65.26274206349207
2023-06-11,64.33925473233064
2023-06-12,74.42715504583515
2023-06-13,71.62775
2023-06-14,70.36109126984127
2023-06-15,70.07466486765348
2023-06-16,68.36257311798087
2023-06-17,64.73531013135442
2023-06-18,64.2469494821223
2023-06-19,68.3809126984127
2023-06-20,66.89630461526251
2023-06-21,66.59283622365966
2023-06-22,66.90882892178261
2023-06-23,66.773402912814
2023-06-24,64.75873566411364
2023-06-25,64.61083730158731
2023-06-26,65.63888095238096
2023-06-27,66.09859042025477
2023-06-28,67.28235714285714
2023-06-29,67.70876939561094
2023-06-30,67.3437311004405
2023-07-01,65.5878253968254
2023-07-02,62.940024604150956
2023-07-03,67.44890590896465
2023-07-04,63.662783443787454
2023-07-05,64.85438095238095
2023-07-06,65.22824239057105
2023-07-07,65.31059486487558
2023-07-08,64.2058764236676
2023-07-09,65.04864682539682
2023-07-10,66.17895472042541
2023-07-11,67.64020318266599
2023-07-12,67.79784523809523
2023-07-13,68.22165476190476
2023-07-14,68.19179649986111
2023-07-15,67.24655555555556
2023-07-16,67.84050478193579
2023-07-17,70.88997896741934
2023-07-18,71.97094047619048
2023-07-19,70.09218143577125
2023-07-20,70.27151394896623
2023-07-21,70.58397476090322
2023-07-22,72.77708333333334
2023-07-23,65.26237866582007
2023-07-24,73.5548505893091
2023-07-25,72.2527116155403
2023-07-26,71.46930158730159
2023-07-27,71.25394975991111
2023-07-28,71.92743283463629
2023-07-29,72.64820746855034
2023-07-30,64.22189285714286
2023-07-31,74.53633398150721
2023-08-01,73.68743124727172
2023-08-02,73.76046985991508
2023-08-03,72.57345634920634
2023-08-04,68.93381007182825
2023-08-05,67.0816056192706
2023-08-06,63.65977777777778
2023-08-07,66.27920634920635
2023-08-08,69.81557522123893
2023-08-09,69.1278253968254
2023-08-10,70.61094805349418
2023-08-11,69.29337592761618
2023-08-12,69.61835317460317
2023-08-13,59.936702380952376
2023-08-14,73.33421031746032
2023-08-15,69.45906107385213
2023-08-16,64.863680304774
2023-08-17,68.3183292987817
2023-08-18,67.951112345728
2023-08-19,63.5291626984127
2023-08-20,64.73862375491092
2023-08-21,69.11803960474622
2023-08-22,70.81928568593992
2023-08-23,69.23936187943966
2023-08-24,72.48422619047619
2023-08-25,68.53342063492063
2023-08-26,64.50926544704154
2023-08-27,64.64904761904762
2023-08-28,70.80891225842295
2023-08-29,69.42528989245605
2023-08-30,69.20341666666666
2023-08-31,70.35232667963014
2023-09-01,68.672502083416
2023-09-02,63.99883333333334
2023-09-03,62.79356349206349
2023-09-04,62.69127663796182
2023-09-05,68.9654246031746
2023-09-06,69.69060200801619
2023-09-07,69.8176586372475
2023-09-08,70.71390476190476
2023-09-09,66.20056272074288
2023-09-10,59.98930433747371
2023-09-11,69.00459462677091
2023-09-12,70.09026984126984
2023-09-13,70.49969760704789
2023-09-14,71.48591531409977
